epoch,accuracy,loss,val_accuracy,val_loss
0,0.38195404,1.3218016686480427,0.4005763828754425,1.2771819836811649
1,0.650429,0.9728344570986623,0.6743515729904175,0.8846825527870003
2,0.7935234,0.5725777261711836,0.7175792455673218,0.7448469522363514
3,0.84998614,0.41591665206063066,0.7204610705375671,0.7435142439105669
4,0.8787711,0.3351841991524468,0.7060518860816956,0.8046680520522148
5,0.9017437,0.2749630880180964,0.7060518860816956,0.8461259933301283
6,0.92388594,0.2255378947127997,0.6945244669914246,0.9250024924704252
7,0.9391088,0.1909518976918291,0.680115282535553,0.9945876251380107
8,0.9490728,0.1659840871109515,0.6772334575653076,0.9785137506314588
9,0.9582065,0.13976890252067414,0.680115282535553,1.1054325103759766
10,0.961251,0.12577236060608862,0.6743515729904175,1.1264417123382304
11,0.9662331,0.11229931944432167,0.6887608170509338,1.1809227353214187
12,0.96955436,0.1035478672256537,0.6772334575653076,1.2452925017656442
13,0.97093827,0.1015818507848537,0.6829971075057983,1.3027878663038315
14,0.970108,0.0960099238468246,0.6685879230499268,1.354194097285312
15,0.9703847,0.08980205258647887,0.6772334575653076,1.3538109723704006
16,0.97370607,0.08149016262288572,0.6743515729904175,1.3492328656853447
17,0.97592026,0.07519388767596001,0.6772334575653076,1.3967995073334971
18,0.9739828,0.07720842976829384,0.6887608170509338,1.4318472548932781
19,0.9767506,0.07205393522722121,0.6685879230499268,1.4161031318329254
20,0.9767506,0.06589716498438684,0.6772334575653076,1.5096919165564546
21,0.9739828,0.06906621809636387,0.6829971075057983,1.4849686735988694
22,0.9770274,0.06729233417316649,0.6829971075057983,1.4867467660381746
23,0.97730416,0.0634543523968293,0.680115282535553,1.5116815010477556
24,0.97758096,0.06266672156777964,0.6714697480201721,1.5352322890366876
